,COUNTRY,POP,AREA,GDP,CONT,IND_DAY
CHN,China,1398.72,9596.96,12234.78,Asia,1949/10/1
IND,India,1351.16,3287.26,2575.67,Asia,1947/8/15
USA,US,329.74,9833.52,19485.39,N.America,1776-07-04
IDN,Indonesia,268.07,1910.93,1015.54,Asia,1945/8/17
BRA,Brazil,210.32,8515.77,2055.51,S.America,1822-09-07
PAK,Pakistan,205.71,881.91,302.14,Asia,1947/8/14
NGA,Nigeria,200.96,923.77,375.77,Africa,1960/10/1
BGD,Bangladesh,167.09,147.57,245.63,Asia,1971/3/26
RUS,Russia,146.79,17098.25,1530.75,,1992/6/12
MEX,Mexico,126.58,1964.38,1158.23,N.America,1810-09-16
JPN,Japan,126.22,377.97,4872.42,Asia,NaN
DEU,Germany,83.02,357.11,3693.2,Europe,NaN
FRA,France,67.02,640.68,2582.49,Europe,1789-07-14
GBR,UK,66.44,242.5,2631.23,Europe,NaN
ITA,Italy,60.36,301.34,1943.84,Europe,NaN
ARG,Argentina,44.94,2780.4,637.49,S.America,1816-07-09
DZA,Algeria,43.38,2381.74,167.56,Africa,1962/7/5
CAN,Canada,37.59,9984.67,1647.12,N.America,1867-07-01
AUS,Australia,25.47,7692.02,1408.68,Oceania,NaN
KAZ,Kazakhstan,18.53,2724.9,159.41,Asia,1991/12/16
